,Number of trades,Close,Volume,0,1,2,3
37,1574.0,31018.49,152.22312,,,30926.636886339365,63.918992987421795
38,1494.0,31010.29,105.44208,,,30934.60384954514,62.711023743756265
39,1187.0,30978.66,63.48293,,,30938.79967339798,58.1462652974868
40,1256.0,31030.76,84.85864,,,30947.55779974103,62.93246515517894
41,1848.0,31052.21,97.30733,,,30957.52467595617,64.72119492789284
42,1241.0,31070.23,68.31517,,,30968.2585163413,66.19696565441622
43,1347.0,31049.15,104.71566,,,30975.962467165937,62.88306685020578
44,1479.0,31099.99,80.28218,,,30987.774613150134,67.15383024313562
45,2728.0,31125.37,202.00779,,,31000.878935707264,69.0673017145413
46,2026.0,31138.89,139.82433,,,31014.022846592285,70.06764241815824
47,1598.0,31147.0,105.36057,,,31026.68733739302,70.68016278741722
48,1727.0,31133.17,80.7287,,,31036.82854335559,68.12015522047328
49,1360.0,31095.06,64.89091,,30896.227399999996,31042.374396369345,61.50891103282849
50,1524.0,31109.94,98.01986,,30904.608286274506,31048.80921576274,63.018106121321956
51,1030.0,31093.94,60.95908,,30912.03305936178,31053.1073856901,60.28114629917175
52,1252.0,31043.7,78.42785,,30917.196468798575,31052.211444195804,52.5616897842594
53,1003.0,31080.73,73.96102,,30923.609548453533,31054.927497129538,56.938732606919665
54,1165.0,31022.85,93.7453,,30927.50133086712,31051.872497402914,49.28419828460082
55,1323.0,31087.86,124.63163,,30933.789906127233,31055.299878602636,56.37763239373468
